,Sludinājumi,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena,URL,Region
26,Pārdodu divistabu dzīvokli 56m2 ar izremontētām pagraba telpām 5,Vārnu 8,2,56,1/5,P. kara,"1,494 €","83,670  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/abpdp.html,centre
27,"Dzīvoklis atrodas renovētā ēkā, Rīgas klusajā centrā, starp Eliz",Valdemāra 23,4,102,1/6,Renov.,"2,451 €","250,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/flifb.html,centre
28,"Pārdošanā 3-istabu dzīvoklis Rīgas klusajā centrā, Dzirnavu un J",Jeruzalemes 10,3,109,6/6,Jaun.,"2,706 €","295,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/agmke.html,centre
29,"Полностью ренавированый дом. 
Лучшее предложение по цене. 
Про",Mūrnieku 14,1,26,2/2,Renov.,"1,019 €","26,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eicib.html,centre
0,"Plašs, gaišs labiekārtots 3-istabu dzīvoklis Rīgas centrā skaist",Skolas 38,3,155,3/6,P. kara,"1,665 €","258,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/adlbc.html,centre
1,"Pārdod dzīvokli ar skatu uz Daugavu un dzelceļa tiltu. 
Malkas ",M. Krasta 39,2,37,3/4,P. kara,811 €,"30,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dckdd.html,centre
2,"Īpašnieks pārdod dzīvokli namā pie Vērmanes dārza. 

Reiz bank",Barona 14,2,40,4/5,Renov.,"2,138 €","85,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bedneg.html,centre
3,"Īpašnieks pārdod dzīvokli namā pie Vērmanes dārza. 

Reiz bank",Barona 14,2,34,3/5,Renov.,"2,015 €","68,500  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fjxhj.html,centre
4,"Pārdod dzīvokli Zaļā ielā 7. 35, 7 kvm, 2 ist. 2.st no 3, pirmsk",Zaļā 7,2,36,2/3,P. kara,"2,124 €","76,450  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dbxop.html,centre
5,"Elegants, plašs 2-istabu dzīvoklis pašā Rīgas centrā. Dzīvoklis ",Marijas 18,2,60,6/6,P. kara,"1,167 €","70,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/cxeml.html,centre
6,Pārdod divu izolētu istabu dzīvokli ar lodžiju Rīgas klusajā cen,Zirņu 5,2,50,3/9,467.,"1,160 €","58,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/hdmob.html,centre
7,Piedāvājam moderna stila dzīvokli 1902.gadā eklektisma stilā cel,Tērbatas 65,4,124,4/5,P. kara,"1,444 €","179,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/feoom.html,centre
8,Izsmalcināts dzīvoklis Pasaules mantojuma sarakstā iekļautajā Ve,Kungu 25,3,137,3/6,Jaun.,"1,847 €","253,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ddkfm.html,centre
9,"Saulains dzīvoklis lieliskā vietā ar labu skatu un stāvvietu. 
",Eksporta 3,2,66,5/5,P. kara,"1,864 €","123,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ccefb.html,centre
10,Квартира площадью124 кв. м. расположена на 5 этаже в фасадном до,Baznīcas 13,3,126,5/6,P. kara,"2,302 €","290,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ehjpm.html,centre
11,Romantisks divstāvu mansarda dzīvoklis Rīgas centrā. Dzīvoklim i,Bruņinieku 28,3,110,6/6,P. kara,"2,182 €","240,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bcnhgc.html,centre
12,Dzīvoklis fasādes mājā ar panorāmas skatu no logiem. Izolētas is,Tallinas 66,2,53,5/6,Specpr.,943 €,"50,000  €",https://www.ss.com/msg/lv/real-estate/flats/riga/centre/acxok.html,centre
